name,content,illustId,illustCategori,backgroundId,backgroundCategori,effectId,effectParam,bgmId,soundId,eventId,eventParam
???,ㅇ..야..!!,,,1,1,,,,,,
나,(누가 내 꿀잠을 방해하는거지?),,,1,1,,,,,,
???,일어나!!,,,1,1,,,,,,
나,으음..?,,,1,1,,,,,,
왑짱,일어나! 이제 점심시간이야!,3,0,1,1,,,,,,
나,(벌써..?),3,0,1,1,,,,,,
나,아... 나 얼마나 잤어?,3,0,1,1,,,,,,
왑짱,한참을 자던데? 너 몸상태가 별로인 것 같길래 선생님들께 말씀 좀 드렸어,3,2,1,1,,,,,,
나,어 고마워.. 푹 자니까 좀 낫다,3,1,1,1,,,,,,
왑짱,그래? 다행이다 이제 밥 먹으러가자!,3,1,1,1,,,,,,
" ",최이왑은 주인공을 이끌고 급식실로 향했다,,,7,4,,,,,,
나,뭐야 오늘 줄 왜 이렇게 길어?,3,0,7,4,,,,,,
왑짱,오늘 급식은 맛있는거 나와서 그래. 금방 줄어들어,3,0,7,4,,,,,,
" ",왑짱의 말대로 줄은 금방 짧아졌고 차례가 다가왔다,3,0,3,1,,,,,,
나,우와... 오늘 메뉴에 돈마호크가 있네??,3,0,3,1,,,,,,
왑짱,신난다! 오늘 급식 진짜 맛있ㅇ..!,3,1,3,2,,,,,,
" ",탁-,3,2,3,2,,,,,,
" ",왑짱은 급식판을 들고 이동하려던 순간 발을 삐끗했다,3,2,3,2,,,,,,
왑짱,으앗!!,,,3,2,,,,,,
나,(으악 어떡하지?),,,3,2,,,,,1,DialogueCSV/Week2/loc3/c0.csv
