name,content,illustId,illustCategori,backgroundId,backgroundCategori,effectId,effectParam,bgmId,soundId,eventId,eventParam
나,안~~ 돼~~~!,,,,,,,,,,
왑짱,끼야아앗 호우~,,,,,,,,,,
나,(가까스로 붙잡았네...),,,,,,,,,,
나,휴... 다행이다.. 괜찮아..?,,,,,,,,,,
나,(어..? 근데 바지가 왜 축축하지..?),,,,,,,,,,
왑짱,고마워!! 난 괜찮아. 근데 너 바지가...??,,,,,,,,,,
나,아 X발!!,,,,,,,,,,
" ",바지에 대량으로 묻은 국물을 보고선 나도 모르게 육성으로 욕설을 뱉었다.,,,,,,,,,,
왑짱,어떡해...ㅜㅜ,,,,,,,,,,
" ",왑짱은 고맙고 미안했는지 휴지를 소프트웨어과 학과장님의 위상만큼 많이 가져왔다,,,,,,,,,,
나,고마워..,,,,,,,,,,
왑짱,나야 고맙지.. 얼렁 닦아,,,,,,,,,,
" ",왑짱은 내가 흘린 국물을 같이 닦아 주었다.,,,,,,,,,,
" ",어쩔 수 없이 오늘은 밥을 먹을 수 없었다..,,,,,,,,,,
