name,content,illustId,illustCategori,backgroundId,backgroundCategori,effectId,effectParam,bgmId,soundId,eventId,eventParam
나,(우와 여기는 운동장에 잔디도 깔려있고 넓다...),,,6,0,,,,,,
???,음 음~,,,6,0,,,,,,
나,무슨 소리지?,,,6,0,,,,,,
,소리가 나는 쪽으로 천천히 다가가본다,,,6,0,,,,,,
???,세워라 반석 위에~ 선린의 털을~,1,2,6,0,,,,,,
나,(우와 노래 진짜 잘 부른다...),1,2,6,0,,,,,,
나,(노래를 진짜 잘 부르는 친구네.. 누굴까? 친해지고 싶다...),1,2,6,0,,,,,,
나,(근데.. 엿듣다가 들키면 개X팔릴거 같은데..),1,2,6,0,,,,,,
???,어??? 누구세요????,1,3,6,0,,,,,,
나,ㅇ..으...아앗ㅇ!!!,1,3,6,0,,,,,,
나,아 이걸 어떡하지,1,3,6,0,,,,,1,DialogueCSV/Week1/loc6/c0.csv
